#Jyutping, CantonesePinyin, Yale, SidneyLau
b	b	b	b
c	ts	ch	ch
d	d	d	d
f	f	f	f
g	g	g	g
gw	gw	gw	gw
h	h	h	h
j	j	y	y
k	k	k	k
kw	kw	kw	kw
l	l	l	l
m	m	m	m
n	n	n	n
ng	ng	ng	ng
p	p	p	p
s	s	s	s
t	t	t	t
w	w	w	w
z	dz	j	j
